'volatile acidity',chlorides,'free sulfur dioxide',density,sulphates,alcohol,Cluster,quality
0.26,0.039,37,0.99787,0.58,10.3,cluster3,7
0.26,0.053,35,0.99347,0.46,8.8,cluster2,5
0.28,0.041,53,0.99838,0.44,8.7,cluster2,5
0.27,0.04,51,0.99839,0.44,8.7,cluster2,5
0.28,0.038,27,0.99375,0.62,10.2,cluster5,6
0.16,0.029,26,0.99155,0.51,10.1,cluster5,6
0.34,0.049,29,0.9936,0.41,9.5,cluster2,5
0.25,0.056,34,0.99434,0.51,9.5,cluster2,5
0.35,0.022,23,0.9922,0.5,11.6,cluster3,7
0.24,0.032,12,0.99571,0.4,10.7,cluster5,6
0.29,0.043,20,0.99658,0.54,10.1,cluster5,6
0.27,0.035,17,0.99076,0.44,11.1,cluster3,7
0.56,0.071,19,0.99496,0.53,9.8,cluster0,5
0.29,0.142,52,0.9937,0.49,9,cluster5,6
0.27,0.035,17,0.99076,0.44,11.1,cluster3,7
0.27,0.047,58,0.99542,0.48,9.5,cluster5,6
0.24,0.052,18,0.99825,0.49,9.4,cluster5,6
0.32,0.049,22,0.99289,0.61,10.2,cluster2,5
0.37,0.041,39.5,0.99432,0.5,9.8,cluster5,6
0.26,0.047,54,0.99523,0.48,9.5,cluster5,6
0.27,0.047,58,0.99542,0.48,9.5,cluster5,6
0.3,0.05,55,0.9959,0.49,9,cluster2,5
0.28,0.045,61,0.99543,0.55,10.1,cluster5,6
0.24,0.079,37,0.99662,0.45,8.8,cluster2,5
0.27,0.034,25,0.99088,0.51,11.9,cluster4,6
0.27,0.034,25,0.99088,0.51,11.9,cluster4,6
0.28,0.074,32,0.99922,0.44,9.3,cluster5,6
0.39,0.036,11,0.9966,0.76,10,cluster5,6
0.2,0.075,49,0.99466,0.43,9.5,cluster2,5
0.28,0.074,32,0.99922,0.44,9.3,cluster5,6
0.31,0.054,20,0.99836,0.5,9.7,cluster5,4
0.31,0.054,20,0.99836,0.5,9.7,cluster5,4
0.18,0.043,45,0.99238,0.48,10.2,cluster1,5
0.23,0.031,13,0.99645,0.4,10.8,cluster1,5
0.21,0.046,32,1,0.48,8.8,cluster2,5
0.21,0.046,32,1,0.48,8.8,cluster2,5
0.26,0.039,37,0.99376,0.49,11.4,cluster4,6
0.21,0.046,32,1,0.48,8.8,cluster2,5
0.31,0.039,39,0.99513,0.52,9.8,cluster2,5
0.34,0.045,11,0.99556,0.47,9.4,cluster2,4
0.34,0.045,11,0.99556,0.47,9.4,cluster2,4
0.3,0.054,54,0.99543,0.43,9.4,cluster5,6
0.4,0.053,37,0.99886,0.63,9.4,cluster5,6
0.32,0.044,63,0.99526,0.48,9.7,cluster5,6
0.34,0.032,36,0.99166,0.47,12.3,cluster3,7
0.26,0.045,45,0.99691,0.43,9.8,cluster5,6
0.27,0.053,18,0.99732,0.68,9,cluster2,5
0.28,0.045,46,0.99573,0.46,9.2,cluster5,6
0.3,0.058,68,0.99656,0.6,9.4,cluster5,6
0.175,0.043,20,0.99112,0.48,9.9,cluster5,6
0.34,0.032,13,0.99214,0.52,9.8,cluster2,5
0.34,0.029,34,0.99165,0.49,12.3,cluster3,7
0.12,0.018,15,0.99004,0.52,11.9,cluster3,7
0.32,0.038,33,0.99463,0.64,10.2,cluster5,6
0.51,0.034,61,0.99683,0.56,9.5,cluster5,6
0.12,0.018,15,0.99004,0.52,11.9,cluster3,7
0.24,0.04,67,0.99596,0.5,9.2,cluster2,5
0.41,0.054,28,0.99898,0.49,9.7,cluster0,5
0.18,0.029,35,0.99114,0.6,11.5,cluster3,7
0.17,0.121,32,0.99508,0.38,10.4,cluster5,8
0.2,0.053,41,0.99306,0.41,11.6,cluster1,5
0.41,0.054,28,0.99898,0.49,9.7,cluster0,5
0.17,0.121,32,0.99508,0.38,10.4,cluster5,8
0.18,0.029,35,0.99114,0.6,11.5,cluster3,7
0.16,0.036,29,0.99342,0.51,10.2,cluster5,6
0.16,0.037,27,0.99345,0.5,9.8,cluster5,6
0.42,0.044,26,0.99772,0.47,9,cluster2,5
0.3,0.036,57,0.99239,0.59,10.5,cluster5,6
0.54,0.049,8,0.99502,0.38,9.4,cluster0,4
0.54,0.049,8,0.99502,0.38,9.4,cluster0,4
0.22,0.046,53,0.99479,0.34,10.8,cluster1,5
0.23,0.043,19,0.99207,0.46,10.7,cluster3,7
0.26,0.029,21,0.99497,0.5,10.6,cluster5,6
0.23,0.046,15,0.99828,0.42,9.2,cluster5,6
0.28,0.032,30,0.99542,0.44,9.5,cluster5,6
0.28,0.032,30,0.99542,0.44,9.5,cluster5,6
0.27,0.028,20,0.99228,0.5,10,cluster1,5
0.29,0.03,34,0.99706,0.47,10.6,cluster1,5
0.26,0.029,21,0.99497,0.5,10.6,cluster5,6
0.27,0.029,19.5,0.99669,0.48,10.6,cluster1,5
0.23,0.046,15,0.99828,0.42,9.2,cluster5,6
0.32,0.036,28,0.99269,0.48,11,cluster4,6
0.22,0.041,17,0.99196,0.53,11.2,cluster4,6
0.5,0.046,26,0.99662,0.54,9.6,cluster0,5
0.33,0.052,27,0.99475,0.48,9.4,cluster2,5
0.26,0.045,62,0.99544,0.53,9.5,cluster5,6
0.2,0.052,51,0.99944,0.62,9.3,cluster2,5
0.33,0.052,27,0.99475,0.48,9.4,cluster2,5
0.26,0.045,62,0.99544,0.53,9.5,cluster5,6
0.36,0.046,8,0.9966,0.46,9.4,cluster2,5
0.13,0.043,63,0.99066,0.72,11.2,cluster3,7
0.15,0.043,67,0.9907,0.73,11.2,cluster3,7
0.13,0.043,63,0.99066,0.72,11.2,cluster3,7
0.23,0.033,54,0.998,0.53,8.8,cluster2,5
0.15,0.043,67,0.9907,0.73,11.2,cluster3,7
0.13,0.043,63,0.99066,0.72,11.2,cluster3,7
0.255,0.079,17,0.99307,0.42,9.4,cluster2,5
0.32,0.03,11,0.99106,0.42,11.1,cluster4,6
0.28,0.052,36,0.99696,0.46,9.6,cluster2,5
0.32,0.03,11,0.99106,0.42,11.1,cluster4,6
0.255,0.079,17,0.99307,0.42,9.4,cluster2,5
0.41,0.037,28,0.99167,0.45,10.6,cluster5,6
0.37,0.048,59,0.99902,0.45,8.9,cluster2,5
0.21,0.021,17,0.98992,0.46,12.3,cluster3,7
0.24,0.028,39,0.99182,0.46,11.4,cluster1,5
0.28,0.043,60,0.99556,0.49,9.6,cluster5,6
0.24,0.034,25,0.99582,0.59,10.3,cluster5,6
0.24,0.028,39,0.99182,0.46,11.4,cluster1,5
0.16,0.032,29,0.98972,0.36,12.1,cluster4,6
0.14,0.026,10,0.99352,0.45,9.9,cluster1,5
0.34,0.035,31,0.9946,0.49,9.7,cluster2,5
0.26,0.043,70,0.99273,0.52,10.5,cluster1,5
0.17,0.038,85,0.99628,0.44,8.9,cluster5,6
0.27,0.039,74,0.99582,0.5,9.4,cluster2,5
0.25,0.037,63,0.99553,0.5,9.6,cluster2,5
0.3,0.014,45,0.98914,0.56,12.6,cluster3,7
0.28,0.156,49,0.99354,0.37,9.2,cluster5,6
0.3,0.053,36,0.99976,0.5,10.4,cluster1,5
0.18,0.062,19,0.99808,0.52,9,cluster3,7
0.18,0.062,19,0.99808,0.52,9,cluster3,7
0.18,0.062,19,0.99808,0.52,9,cluster3,7
0.18,0.062,19,0.99808,0.52,9,cluster3,7
0.18,0.062,19,0.99808,0.52,9,cluster3,7
0.18,0.062,19,0.99808,0.52,9,cluster3,7
0.14,0.039,15,0.9919,0.43,9.2,cluster5,6
0.18,0.062,19,0.99808,0.52,9,cluster3,7
0.615,0.068,25,0.99499,0.48,9.7,cluster0,4
0.13,0.05,47,0.99655,0.42,10.1,cluster5,6
0.34,0.059,24,0.99615,0.64,11,cluster3,7
0.32,0.038,32,0.99296,0.55,10.8,cluster1,5
0.21,0.048,49,0.99482,0.38,10.8,cluster1,5
0.5,0.028,12,0.99079,0.88,13.5,cluster3,7
0.52,0.042,18,0.99366,0.39,10.6,cluster0,5
0.28,0.046,28,0.99434,0.64,9.8,cluster2,5
0.22,0.023,56,0.98958,0.7,11.7,cluster4,6
0.28,0.046,28,0.99434,0.64,9.8,cluster2,5
0.32,0.034,58,0.99938,0.6,9,cluster5,6
0.11,0.042,51,0.99059,0.74,11.3,cluster3,7
0.26,0.031,64,0.99835,0.61,9.4,cluster2,5
0.22,0.023,56,0.98958,0.7,11.7,cluster4,6
0.3,0.025,37,0.99159,0.63,11.3,cluster3,7
0.3,0.025,37,0.99159,0.63,11.3,cluster3,7
0.2,0.019,4,0.98931,0.36,12,cluster4,6
0.2,0.028,22,0.9938,0.49,10.6,cluster5,6
0.26,0.024,47,0.99558,0.46,10.8,cluster5,6
0.25,0.024,53,0.99563,0.46,10.8,cluster5,6
0.2,0.019,4,0.98931,0.36,12,cluster4,6
0.27,0.053,44,0.99691,0.67,9.4,cluster2,5
0.3,0.038,61,0.9959,0.5,9.4,cluster2,5
0.3,0.025,37,0.99159,0.63,11.3,cluster3,7
0.36,0.05,29,0.99628,0.4,9.4,cluster2,5
0.21,0.021,20,0.99076,0.47,12,cluster1,5
0.18,0.039,47,0.99678,0.72,10.3,cluster3,7
0.18,0.039,47,0.99678,0.72,10.3,cluster3,7
0.18,0.039,47,0.99678,0.72,10.3,cluster3,7
0.26,0.026,48,0.99089,0.38,11.3,cluster3,7
0.35,0.063,31,0.99537,0.47,9.4,cluster5,6
0.28,0.041,40,1.0002,0.38,8.7,cluster2,5
0.36,0.05,29,0.99628,0.4,9.4,cluster2,5
0.26,0.026,48,0.99089,0.38,11.3,cluster3,7
0.18,0.039,47,0.99678,0.72,10.3,cluster3,7
0.21,0.021,20,0.99076,0.47,12,cluster1,5
0.19,0.033,89,0.99332,0.42,8,cluster2,5
0.24,0.033,36,0.99316,0.51,10.4,cluster3,7
0.17,0.029,39,0.99272,0.41,10.7,cluster3,7
0.24,0.03,42,0.99636,0.46,10.2,cluster5,6
0.6,0.044,72,0.99202,0.43,10.9,cluster0,5
0.445,0.027,23,0.99148,0.36,10.5,cluster4,6
0.28,0.012,36,0.99064,0.39,11.7,cluster3,7
0.44,0.065,61,0.99884,0.45,8.6,cluster0,5
0.24,0.034,40,0.99773,0.44,9,cluster2,5
0.31,0.044,27,1.00013,0.88,8.7,cluster2,5
0.32,0.062,26,0.98974,0.47,12.8,cluster4,6
0.24,0.034,40,0.99773,0.44,9,cluster2,5
0.31,0.044,27,1.00013,0.88,8.7,cluster2,5
0.13,0.023,42,0.99112,0.53,11.8,cluster4,6
0.14,0.034,36,0.99136,0.55,11.6,cluster4,6
0.2,0.028,28,0.99132,0.61,11.8,cluster4,6
0.15,0.042,55,0.99642,0.37,10.6,cluster1,5
0.23,0.066,14,0.99488,0.8,9.7,cluster2,5
0.33,0.047,24,0.99527,0.47,10.3,cluster1,5
0.17,0.119,56,0.99578,0.44,10.2,cluster5,6
0.12,0.048,38,0.99352,0.44,10.1,cluster3,7
0.18,0.046,9,0.99199,0.68,10.9,cluster3,7
0.15,0.037,43,0.99198,0.51,9.3,cluster2,5
0.23,0.057,29,0.99756,0.54,10.2,cluster5,6
0.17,0.119,56,0.99578,0.44,10.2,cluster5,6
0.34,0.066,43,0.99561,0.53,9.5,cluster2,5
0.68,0.069,25,0.99347,0.4,9.3,cluster0,5
0.22,0.018,45,0.98936,0.34,12.9,cluster3,7
0.28,0.042,45,0.99786,0.46,8.7,cluster2,5
0.4,0.081,76,0.99705,0.57,9.4,cluster2,5
0.19,0.034,71,0.9942,0.69,10.1,cluster2,5
0.23,0.039,60,0.9948,0.78,10,cluster5,4
0.14,0.05,51,0.99116,0.69,11.1,cluster3,7
0.15,0.052,65,0.99688,0.7,10.3,cluster3,7
0.15,0.033,27,0.98974,0.41,12.2,cluster4,6
0.33,0.067,35,0.99542,0.48,9.3,cluster5,6
0.3,0.041,46,0.99154,0.56,11.3,cluster4,6
0.23,0.043,46,0.99118,0.65,10.8,cluster5,6
0.13,0.033,15,0.99044,0.39,11.2,cluster1,8
0.21,0.03,36,0.9914,0.45,12.5,cluster3,7
0.4,0.05,15,0.9979,0.49,9.3,cluster2,5
0.34,0.03,38,0.98892,0.41,12.9,cluster3,7
0.12,0.039,21,0.99114,0.45,11.2,cluster3,7
0.655,0.039,21,0.99188,1,12.6,cluster4,6
0.26,0.046,45,0.99583,0.49,9.3,cluster2,5
0.34,0.03,38,0.98892,0.41,12.9,cluster3,7
0.3,0.03,38,0.98892,0.41,12.9,cluster3,7
0.15,0.049,46,0.99704,0.36,9.5,cluster3,7
0.37,0.037,5,0.9911,0.36,11.9,cluster4,6
0.35,0.032,23,0.99334,0.66,10.3,cluster3,7
0.32,0.033,23,0.99334,0.66,10.3,cluster3,7
0.1,0.031,33,0.99094,0.68,11.2,cluster4,6
0.25,0.03,32,0.99014,0.31,12,cluster4,6
0.31,0.042,21,0.99304,0.4,9.6,cluster2,5
0.18,0.041,29,0.99652,0.42,9.2,cluster5,6
0.17,0.029,52,0.98944,0.33,12.9,cluster4,6
0.19,0.061,46,0.99772,0.59,9.3,cluster5,6
0.32,0.03,15,0.99367,0.44,12.1,cluster4,6
0.31,0.042,21,0.99304,0.4,9.6,cluster2,5
0.21,0.026,35,0.99183,0.48,11.2,cluster4,6
0.16,0.029,28,0.99126,0.37,11.2,cluster3,7
0.17,0.029,52,0.98944,0.33,12.9,cluster4,6
0.24,0.042,56,0.99577,0.46,9.2,cluster2,5
0.19,0.061,46,0.99772,0.59,9.3,cluster5,6
0.18,0.041,29,0.99652,0.42,9.2,cluster5,6
0.3,0.041,26,0.99428,0.5,9.3,cluster5,6
0.28,0.03,26,0.99388,0.36,10.7,cluster4,6
0.31,0.024,20,0.99208,0.54,9.8,cluster5,6
0.23,0.036,28,0.99256,0.54,10.3,cluster5,6
0.28,0.03,26,0.99388,0.36,10.7,cluster4,6
0.23,0.025,26,0.9925,0.38,11.3,cluster4,6
0.22,0.048,36,0.99904,0.49,8.8,cluster5,6
0.18,0.043,16,0.99216,0.5,10.8,cluster1,5
0.31,0.024,20,0.99208,0.54,9.8,cluster5,6
0.3,0.041,26,0.99428,0.5,9.3,cluster5,6
0.46,0.027,15,0.99165,0.6,11.5,cluster3,7
0.23,0.038,43,0.99924,0.41,8.8,cluster2,5
0.23,0.038,43,0.99924,0.41,8.8,cluster2,5
0.23,0.038,43,0.99924,0.41,8.8,cluster2,5
0.26,0.17,68,0.9956,0.38,9.4,cluster5,6
0.26,0.171,64,0.99562,0.38,9.4,cluster5,6
0.28,0.045,59,0.9972,0.63,9.6,cluster5,6
0.23,0.038,43,0.99924,0.41,8.8,cluster2,5
0.23,0.044,56,0.9958,0.48,9.3,cluster5,6
0.25,0.044,66,0.99976,0.75,8.9,cluster2,5
0.25,0.044,66,0.99976,0.75,8.9,cluster2,5
0.2,0.049,25,0.99296,0.43,10,cluster1,5
0.21,0.045,47,0.9957,0.46,9.1,cluster2,5
0.23,0.044,56,0.9958,0.48,9.3,cluster5,6
0.24,0.043,59,0.99579,0.5,9.4,cluster5,6
0.25,0.04,46,0.99541,0.6,10.1,cluster5,6
0.25,0.044,66,0.99976,0.75,8.9,cluster2,5
0.16,0.046,59,0.99518,0.4,10.8,cluster5,6
0.28,0.028,18,0.99168,0.54,10,cluster5,6
0.18,0.029,53,0.99276,0.38,10.9,cluster4,6
0.26,0.027,29,0.99085,0.38,12,cluster3,7
0.37,0.043,22,0.99873,0.8,9.3,cluster2,5
0.4,0.03,32,0.99172,0.62,12.3,cluster3,7
0.26,0.038,29,0.99312,0.56,10.4,cluster5,6
0.18,0.029,53,0.99276,0.38,10.9,cluster4,6
0.23,0.045,62,0.9972,0.42,10.5,cluster1,5
0.2,0.036,22,0.99278,0.5,9.8,cluster5,6
0.17,0.041,34,0.99092,0.46,10.5,cluster5,6
0.35,0.051,86,0.9962,0.51,9.9,cluster5,6
0.29,0.035,24,0.99053,0.69,11.4,cluster3,7
0.3,0.06,41,0.99858,0.51,9.2,cluster2,5
0.51,0.051,30,0.9984,0.53,9.7,cluster0,5
0.51,0.049,13,0.99335,0.51,10,cluster0,5
0.29,0.035,24,0.99053,0.69,11.4,cluster3,7
0.29,0.048,50,0.9949,0.49,10.3,cluster5,6
0.35,0.051,86,0.9962,0.51,9.9,cluster5,6
0.17,0.041,34,0.99092,0.46,10.5,cluster5,6
0.2,0.047,29,0.99532,0.47,9.8,cluster3,7
0.615,0.067,24,0.99727,0.34,9.3,cluster0,5
0.32,0.034,25,0.99026,0.47,12.4,cluster3,7
0.2,0.048,54,0.99668,0.42,9.3,cluster5,6
0.615,0.067,24,0.99727,0.34,9.3,cluster0,5
0.23,0.048,49,0.9952,0.72,9.5,cluster5,6
0.27,0.034,9,0.99144,0.4,10.5,cluster5,6
0.27,0.034,9,0.99144,0.4,10.5,cluster5,6
0.44,0.032,19,0.99015,0.53,12.8,cluster3,7
0.34,0.045,44,0.9914,0.45,10.8,cluster4,6
0.26,0.057,48,0.99693,0.55,10,cluster5,6
0.17,0.045,96,0.99035,0.9,11.8,cluster3,8
0.26,0.057,48,0.99693,0.55,10,cluster5,6
0.17,0.045,96,0.99035,0.9,11.8,cluster3,8
0.17,0.036,38,0.99006,0.66,12,cluster4,6
0.43,0.025,15,0.99126,0.46,12.6,cluster4,6
0.315,0.026,15,0.98994,0.4,11.9,cluster4,8
0.17,0.027,5,0.98985,0.32,10.6,cluster1,5
0.34,0.082,47,0.9971,0.48,9.2,cluster2,5
0.33,0.059,42,0.99882,0.52,10,cluster5,6
0.12,0.038,18,0.99477,0.46,9.2,cluster2,5
0.13,0.039,19,0.99478,0.47,9.3,cluster5,6
0.18,0.055,25,0.99576,0.54,10.2,cluster5,6
0.16,0.054,25,0.99578,0.54,10.2,cluster5,6
0.26,0.06,51,0.99354,0.51,8.7,cluster2,5
0.32,0.05,8,0.99244,0.42,10.7,cluster1,5
0.3,0.048,4,0.99084,0.34,12.1,cluster4,6
0.16,0.05,58,0.99612,0.37,9.5,cluster5,6
0.27,0.028,17,0.99356,0.37,11.2,cluster4,6
0.16,0.034,36,0.98952,0.59,12,cluster4,6
0.16,0.05,58,0.99612,0.37,9.5,cluster5,6
0.3,0.048,4,0.99084,0.34,12.1,cluster4,6
0.32,0.05,8,0.99244,0.42,10.7,cluster1,5
0.44,0.048,29,0.99955,0.54,8.8,cluster3,7
0.2,0.052,36,0.99374,0.66,10.8,cluster5,6
0.29,0.026,39,0.9892,0.37,13.1,cluster3,7
0.39,0.035,22,0.99144,0.6,12.5,cluster3,7
0.36,0.045,37,0.99352,0.33,11.7,cluster4,8
0.36,0.045,37,0.99352,0.33,11.7,cluster4,8
0.36,0.045,35,0.9935,0.33,11.6,cluster4,8
0.2,0.043,24,0.99237,0.54,11.3,cluster4,6
0.39,0.035,22,0.99144,0.6,12.5,cluster3,7
0.2,0.025,42,0.99022,0.45,11.4,cluster1,5
0.235,0.036,4,0.99032,0.44,12.2,cluster1,5
0.965,0.074,8,1.03898,0.69,11.7,cluster5,6
0.2,0.053,32,0.99587,0.59,10.4,cluster5,6
0.2,0.053,32,0.99587,0.59,10.4,cluster5,6
0.2,0.053,32,0.99587,0.59,10.4,cluster5,6
0.24,0.083,35,0.99976,0.5,9.1,cluster2,5
0.3,0.034,8,0.99354,0.41,12.2,cluster4,6
0.24,0.083,35,0.99976,0.5,9.1,cluster2,5
0.4,0.066,41,0.99552,0.54,9.4,cluster2,5
0.4,0.065,42,0.99552,0.53,9.4,cluster2,5
0.2,0.053,32,0.99587,0.59,10.4,cluster5,6
0.25,0.047,61,0.99604,0.49,9.2,cluster2,5
0.26,0.046,52,0.99584,0.51,9.4,cluster2,5
0.37,0.033,39,0.98894,0.53,13.5,cluster3,7
0.35,0.053,37,0.9963,0.4,9.4,cluster2,5
0.22,0.028,15,0.993,0.55,10.9,cluster3,8
0.37,0.033,39,0.98894,0.53,13.5,cluster3,7
0.35,0.053,37,0.9963,0.4,9.4,cluster2,5
0.31,0.036,34,0.99068,0.45,11.4,cluster3,7
0.16,0.036,45,0.98964,0.51,12.4,cluster3,7
0.25,0.047,61,0.99604,0.49,9.2,cluster2,5
0.26,0.046,52,0.99584,0.51,9.4,cluster2,5
0.15,0.038,8,0.9923,0.39,10.5,cluster5,6
0.15,0.031,16,0.99437,0.38,11.5,cluster1,8
0.22,0.028,15,0.993,0.55,10.9,cluster3,8
0.2,0.04,36,0.99238,0.44,10.8,cluster4,6
0.17,0.038,52,0.99801,0.46,8.9,cluster2,5
0.18,0.039,53,0.99802,0.46,8.9,cluster2,5
0.27,0.042,60,0.99566,0.5,9.4,cluster5,6
0.32,0.049,25,0.99067,0.73,12.2,cluster3,7
0.26,0.025,22,0.99066,0.47,12.1,cluster3,7
0.3,0.03,23,0.9929,0.66,10.9,cluster1,5
0.16,0.026,27,0.9934,0.58,10.1,cluster5,6
0.32,0.049,25,0.99067,0.73,12.2,cluster3,7
0.19,0.032,14,0.98912,0.38,13,cluster3,7
0.36,0.038,15,0.99066,0.39,11,cluster1,5
0.17,0.052,24,0.99228,0.49,10.8,cluster1,5
0.19,0.032,14,0.98912,0.38,13,cluster3,7
0.11,0.052,69,0.9958,0.34,9.3,cluster2,4
0.21,0.042,63,0.99052,0.42,11.4,cluster4,6
0.325,0.152,49,0.99312,0.38,9.2,cluster0,5
0.4,0.056,42,0.9968,0.6,9.9,cluster2,5
0.2,0.044,25,0.99502,0.44,10.5,cluster1,5
0.27,0.04,18,0.99084,0.48,12.4,cluster4,6
0.26,0.047,52,0.99573,0.53,9.5,cluster5,6
0.25,0.048,41,0.99256,0.5,10.5,cluster5,6
0.22,0.053,52,0.9959,0.48,9.1,cluster5,6
0.14,0.034,53,0.99084,0.35,11.5,cluster3,7
0.14,0.034,53,0.99084,0.35,11.5,cluster3,7
0.26,0.044,31,0.99644,0.37,11.2,cluster1,5
0.22,0.05,59,0.99526,0.4,10.8,cluster1,5
0.45,0.064,31,0.9954,0.44,9.4,cluster0,5
0.17,0.031,13,0.99095,0.58,11,cluster4,6
0.44,0.048,22,0.99188,0.37,11.3,cluster3,7
0.15,0.041,51,0.9909,0.38,11.2,cluster4,6
0.25,0.048,41,0.99256,0.5,10.5,cluster5,6
0.22,0.053,52,0.9959,0.48,9.1,cluster5,6
0.26,0.05,35,0.99581,0.5,10.4,cluster5,6
0.15,0.033,14,0.99132,0.58,11.2,cluster3,7
0.22,0.034,34,0.98936,0.36,11.1,cluster3,7
0.37,0.036,23,0.99136,0.38,11.2,cluster4,6
0.375,0.036,17,0.99142,0.39,10.5,cluster5,6
0.2,0.047,23,0.99232,0.45,10,cluster5,6
0.22,0.046,24,0.99232,0.47,10,cluster5,6
0.22,0.049,24,0.993,0.42,10.9,cluster1,5
0.22,0.028,16,0.99311,0.56,10.9,cluster3,7
0.15,0.033,14,0.99132,0.58,11.2,cluster3,7
0.2,0.035,40,0.98993,0.42,11.7,cluster1,5
0.31,0.033,55,0.99208,0.42,10,cluster2,5
0.43,0.169,22,0.99776,0.64,9.5,cluster0,5
0.24,0.053,55,0.99839,0.52,9,cluster2,5
0.23,0.052,19,0.99574,0.56,10,cluster2,5
0.2,0.041,37,0.99093,0.43,11.9,cluster1,5
0.16,0.028,40,0.99156,0.59,10.6,cluster5,6
0.21,0.047,29,0.99278,0.4,11,cluster4,6
0.33,0.027,46,0.9924,0.43,11.2,cluster3,7
0.18,0.034,29,0.98984,0.6,12,cluster3,7
0.29,0.027,39,0.99035,0.6,12.6,cluster4,8
0.33,0.027,46,0.9924,0.43,11.2,cluster3,7
0.21,0.034,48,0.99165,0.68,10.5,cluster5,6
0.21,0.037,66,0.9923,0.52,10.2,cluster5,6
0.21,0.047,29,0.99278,0.4,11,cluster4,6
0.11,0.028,12,0.99008,0.52,12.2,cluster4,6
0.15,0.036,19,0.98964,0.41,12.3,cluster4,6
0.16,0.028,40,0.99156,0.59,10.6,cluster5,6
0.19,0.032,33,0.9909,0.5,10.4,cluster5,6
0.18,0.034,29,0.98984,0.6,12,cluster3,7
0.48,0.021,22,0.9889,0.53,12.7,cluster3,7
0.23,0.018,18,0.99178,0.28,10.6,cluster1,5
0.17,0.028,25,0.99076,0.34,12.3,cluster4,6
0.48,0.021,22,0.9889,0.53,12.7,cluster3,7
0.15,0.037,20,0.99046,0.53,11.4,cluster4,6
0.17,0.029,93,0.98999,0.89,12,cluster3,7
0.21,0.045,38,0.98946,0.94,12.4,cluster3,8
0.23,0.03,74,0.98976,0.99,12.1,cluster3,7
0.15,0.037,20,0.99046,0.53,11.4,cluster4,6
0.22,0.04,57,0.99672,0.38,10.7,cluster1,5
0.15,0.045,75,0.99482,0.4,9.3,cluster2,5
0.32,0.027,35,0.98945,0.42,12.7,cluster4,6
0.37,0.029,24,0.98883,0.39,11.7,cluster4,6
0.25,0.039,22,0.99362,0.49,10.7,cluster1,5
0.21,0.033,38,0.99075,0.43,11.8,cluster3,7
0.24,0.039,37,0.99436,0.39,9.9,cluster2,5
0.475,0.047,16,0.98988,0.53,13.4,cluster3,7
0.28,0.032,30,0.99158,0.64,12.8,cluster3,7
0.4,0.033,24,0.99265,0.45,12.8,cluster4,6
0.41,0.042,18,0.99195,0.41,10.5,cluster1,5
0.2,0.032,24,0.99168,0.55,11.5,cluster1,5
0.22,0.04,5,0.9918,0.37,10.5,cluster1,4
0.36,0.032,21,0.99313,0.39,13,cluster4,6
0.285,0.035,64,0.9895,0.34,12.4,cluster4,8
0.2,0.041,40,0.9932,0.35,10.2,cluster5,6
0.42,0.054,67,0.99848,0.5,9,cluster2,5
0.16,0.038,85,0.9909,0.86,12,cluster3,7
0.125,0.044,22,0.99014,0.5,11.7,cluster3,7
0.44,0.054,20,0.9952,0.57,10,cluster0,5
0.31,0.055,42,0.99652,0.54,10.3,cluster2,5
0.42,0.054,67,0.99848,0.5,9,cluster2,5
0.18,0.032,25,0.99104,0.38,11.1,cluster1,5
0.21,0.05,59,0.99772,0.46,9,cluster2,5
0.16,0.031,37,0.9922,0.58,10.5,cluster5,6
0.22,0.028,36,0.99076,0.59,11.9,cluster3,7
0.36,0.036,38,0.99622,0.5,9.4,cluster2,5
0.21,0.035,26,0.9902,0.52,11.4,cluster4,6
0.25,0.034,40,0.99114,0.58,10.8,cluster3,7
0.31,0.073,40,0.9938,0.46,9.8,cluster2,5
0.26,0.047,59,0.99594,0.45,9.3,cluster2,5
0.21,0.035,26,0.9902,0.52,11.4,cluster4,6
0.2,0.031,22,0.99035,0.52,11.3,cluster4,6
0.18,0.031,23,0.99032,0.52,11.3,cluster4,6
0.37,0.031,49,0.99558,0.48,9.5,cluster2,5
0.36,0.036,38,0.99622,0.5,9.4,cluster2,5
0.22,0.028,36,0.99076,0.59,11.9,cluster3,7
0.18,0.046,49,0.99413,0.38,9.3,cluster2,5
0.14,0.041,22,0.99043,0.54,11.4,cluster4,6
0.14,0.041,22,0.99043,0.54,11.4,cluster4,6
0.44,0.053,57,0.98982,0.39,12.7,cluster4,6
0.36,0.033,26,0.98934,0.45,13.5,cluster3,7
0.28,0.019,15,0.9902,0.52,11.2,cluster4,6
0.16,0.038,38,0.99449,0.41,10.7,cluster1,5
0.28,0.032,13,0.99629,0.46,10.8,cluster1,4
0.39,0.054,27,0.9948,0.57,10.5,cluster5,6
0.44,0.014,44,0.98984,0.32,13,cluster4,8
0.22,0.029,41,0.99326,0.49,10.8,cluster5,6
0.22,0.046,39,0.99834,0.5,9.1,cluster5,6
0.25,0.038,67,0.99555,0.5,10.1,cluster2,5
0.155,0.028,13,0.98975,0.84,11.9,cluster3,8
0.31,0.036,45,0.99216,0.31,12,cluster3,7
0.31,0.036,45,0.99216,0.31,12,cluster3,7
0.22,0.046,39,0.99834,0.5,9.1,cluster5,6
0.21,0.041,81,0.9901,0.95,11.6,cluster3,8
0.155,0.028,13,0.98975,0.84,11.9,cluster3,8
